frame_id,time_sec,valid_pose,mean_keypoint_conf,low_keypoint_count,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle
22,0.7,1,0.8233,2,9.627975,0.044218,9.788178,-0.187619,9.739508,-0.419997,9.412262,-1.045799,9.121148,-1.190258,8.158507,-1.026124,7.164265,-0.918977,5.580525,0.926771,5.229872,1.949142,6.335471,3.734652,5.880865,4.109101,0.458609,0.369212,-0.458612,-0.369212,-6.32017,2.007979,-7.994884,1.801718,-11.640445,1.128467,-12.828539,1.152685,112.095932,129.230096,157.022676,156.282621
23,0.7333,1,0.8061,2,11.671097,-0.107903,11.846494,-0.356711,11.873711,-0.631146,11.298551,-1.256465,11.195746,-1.423616,9.726907,-1.130645,8.738311,-0.980052,6.80352,0.882757,6.412017,2.133502,7.731406,3.917849,7.015009,4.506422,0.476516,0.437389,-0.476516,-0.437387,-7.595267,2.056957,-9.510983,1.79275,-13.43935,1.025731,-14.777111,0.996419,107.556657,128.976849,158.647311,157.534897
24,0.7667,1,0.7788,3,13.372447,0.382477,13.493721,0.137254,13.666777,-0.140023,12.766457,-0.882454,12.966386,-1.002667,11.140336,-0.856891,10.143963,-0.771794,7.531131,1.068066,6.977923,2.248827,8.345254,3.999886,7.185942,4.835187,0.475597,0.519599,-0.475601,-0.5196,-8.932015,2.281697,-10.800082,1.972122,-16.014942,0.794357,-17.147326,0.946373,102.553876,129.05514,157.531912,157.251705
25,0.8,1,0.7925,4,14.858664,0.455335,15.158081,0.25453,15.268074,-0.116256,14.740377,-0.519432,14.778274,-0.837291,12.709785,-0.269896,11.717347,-0.392634,8.504377,1.453725,8.084064,2.548428,9.582417,4.545226,8.492165,5.3499,0.496504,0.643126,-0.496508,-0.643126,-10.232754,2.520063,-12.232504,2.014282,-17.862942,1.006755,-19.211117,0.911234,93.06245,120.701216,158.859322,158.259582
26,0.8333,1,0.7934,4,14.663181,0.502584,14.951195,0.302575,15.067831,-0.0597,14.540836,-0.474061,14.5923,-0.778231,12.566209,-0.223371,11.574259,-0.350003,8.383057,1.498696,7.954928,2.558821,9.452631,4.55594,8.354281,5.33904,0.494339,0.636518,-0.494334,-0.636516,-10.118855,2.53271,-12.103165,2.040184,-17.709562,1.002781,-19.050943,0.938959,93.093012,120.614428,158.474739,158.009494
27,0.8667,1,0.8145,3,6.931261,0.537077,7.099206,0.439184,7.075331,0.280808,7.075776,0.134748,6.825003,0.00147,6.375624,0.434584,5.392636,0.250914,4.477956,1.266056,3.560587,1.564182,4.766136,2.236666,3.986099,2.758398,0.391563,0.334628,-0.391561,-0.334628,-4.918079,1.336502,-5.919869,1.04633,-8.662533,0.332524,-9.266904,0.39765,97.124345,106.022554,154.305176,155.006292
28,0.9,1,0.8322,2,4.182689,0.454907,4.334214,0.407889,4.294039,0.291599,4.573835,0.276683,4.27918,0.124516,4.371434,0.574771,3.420825,0.264382,3.227499,1.11481,2.290197,1.011274,3.006944,1.320355,2.586828,1.757662,0.35123,0.27381,-0.351231,-0.27381,-3.382308,0.891684,-4.051507,0.542469,-5.876822,0.170305,-6.148261,0.090577,162.28899,101.774766,154.473975,155.397485
29,0.9333,1,0.7919,3,7.881397,1.082278,8.004729,0.96888,8.107199,0.794078,7.939555,0.475289,7.916403,0.348846,7.239963,0.622055,6.241905,0.55976,5.041263,1.431222,4.51692,2.078412,5.633342,2.275471,5.140337,3.102549,0.434445,0.352992,-0.434442,-0.352991,-5.684687,1.337039,-7.027438,1.123564,-10.186622,0.134919,-11.020653,0.273992,75.162348,100.030297,155.913735,155.365635
30,0.9667,1,0.7997,3,7.30163,1.223117,7.45067,1.093929,7.50777,0.947861,7.534142,0.558221,7.39127,0.477792,6.867732,0.630557,5.86968,0.69296,4.696273,1.387812,4.273294,2.20524,5.290314,2.18088,4.942223,3.058132,0.429186,0.307558,-0.429186,-0.307558,-5.289953,1.28713,-6.615032,1.170952,-9.472723,0.245627,-10.348775,0.44096,72.390491,95.342905,156.298512,155.49516
31,1.0,1,0.7985,3,6.024887,0.999556,6.170529,0.887809,6.177619,0.782847,6.298275,0.470514,6.063773,0.431723,5.789672,0.548097,4.795622,0.657027,3.996836,1.202204,3.444345,1.971134,4.35963,1.774289,4.041124,2.51973,0.405254,0.244597,-0.405252,-0.244596,-4.374261,0.966821,-5.484781,0.906356,-7.874297,0.111889,-8.574883,0.306154,77.66298,86.792173,157.680637,156.241239
32,1.0333,1,0.7956,3,6.225689,1.014432,6.369803,0.896462,6.385558,0.794799,6.480636,0.460361,6.269253,0.439504,5.938709,0.526862,4.951061,0.68355,4.093721,1.187648,3.567274,2.053325,4.548502,1.766853,4.238703,2.55779,0.406613,0.240219,-0.406613,-0.240218,-4.492145,0.964829,-5.637239,0.939396,-8.042259,0.094291,-8.787347,0.327912,71.566756,81.627083,157.808147,156.305854
33,1.0667,1,0.7834,3,6.526213,1.054765,6.627375,0.928222,6.677638,0.838777,6.577681,0.422155,6.463749,0.455492,6.015131,0.38269,5.048453,0.638687,4.225382,1.040174,3.75252,2.033993,4.71667,1.770588,4.424992,2.514753,0.407959,0.220031,-0.407957,-0.220031,-4.458632,0.87772,-5.703393,0.920358,-8.008857,0.022948,-8.826054,0.32234,76.245993,82.676162,158.766257,157.005395
