frame_id,elapsed_sec,expected_label,segment_id,window_seconds,confidence_threshold,stabilization_buffer,stabilization_min_votes,keep_buffer_on_target,buffer_duration_sec,valid_feature_ratio,raw_label,threshold_label,stable_label,confidence,prediction_updated,processing_fps
89,5.1659,,0,5.0,0.55,5,3,0,1.358,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,81.016
90,5.1821,,0,5.0,0.55,5,3,0,1.3741,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,79.061
91,5.1983,,0,5.0,0.55,5,3,0,1.3904,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,76.877
92,5.2159,,0,5.0,0.55,5,3,0,1.4079,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,78.377
93,5.2267,,0,5.0,0.55,5,3,0,1.4188,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,79.144
94,5.2383,,0,5.0,0.55,5,3,0,1.4304,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,76.423
95,5.2577,,0,5.0,0.55,5,3,0,1.4497,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.124
96,5.2763,,0,5.0,0.55,5,3,0,1.4684,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.475
97,5.2877,,0,5.0,0.55,5,3,0,1.4797,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.359
98,5.3012,,0,5.0,0.55,5,3,0,1.4933,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.963
99,5.3174,,0,5.0,0.55,5,3,0,1.5095,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.586
100,5.3289,,0,5.0,0.55,5,3,0,1.521,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,76.352
101,5.3405,,0,5.0,0.55,5,3,0,1.5326,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,76.988
102,5.3526,,0,5.0,0.55,5,3,0,1.5447,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.926
103,5.3642,,0,5.0,0.55,5,3,0,1.5563,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,79.061
104,5.3754,,0,5.0,0.55,5,3,0,1.5675,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,79.854
105,5.3869,,0,5.0,0.55,5,3,0,1.579,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,80.462
106,5.3985,,0,5.0,0.55,5,3,0,1.5906,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,80.881
107,5.4103,,0,5.0,0.55,5,3,0,1.6023,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,81.793
108,5.4214,,0,5.0,0.55,5,3,0,1.6134,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,82.268
109,5.4331,,0,5.0,0.55,5,3,0,1.6251,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,83.061
110,5.4441,,0,5.0,0.55,5,3,0,1.6362,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,83.31
111,5.4557,,0,5.0,0.55,5,3,0,1.6478,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,84.037
112,5.4668,,0,5.0,0.55,5,3,0,1.6589,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,83.976
113,5.4791,,0,5.0,0.55,5,3,0,1.6711,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,80.733
114,5.4984,,0,5.0,0.55,5,3,0,1.6904,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,81.614
115,5.5093,,0,5.0,0.55,5,3,0,1.7014,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,81.559
116,5.5217,,0,5.0,0.55,5,3,0,1.7138,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,79.873
117,5.5372,,0,5.0,0.55,5,3,0,1.7293,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,80.285
118,5.5492,,0,5.0,0.55,5,3,0,1.7413,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,78.98
119,5.5639,,0,5.0,0.55,5,3,0,1.756,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,76.262
120,5.5833,,0,5.0,0.55,5,3,0,1.7754,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.185
121,5.5951,,0,5.0,0.55,5,3,0,1.7872,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.493
122,5.6149,,0,5.0,0.55,5,3,0,1.807,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.882
123,5.6261,,0,5.0,0.55,5,3,0,1.8182,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.788
124,5.6444,,0,5.0,0.55,5,3,0,1.8365,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.246
125,5.6557,,0,5.0,0.55,5,3,0,1.8478,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.531
126,5.6684,,0,5.0,0.55,5,3,0,1.8605,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.207
127,5.6798,,0,5.0,0.55,5,3,0,1.8719,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.569
128,5.699,,0,5.0,0.55,5,3,0,1.891,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,76.216
129,5.7101,,0,5.0,0.55,5,3,0,1.9021,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.443
130,5.7272,,0,5.0,0.55,5,3,0,1.9193,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.629
131,5.7386,,0,5.0,0.55,5,3,0,1.9307,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,76.683
132,5.7503,,0,5.0,0.55,5,3,0,1.9424,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.166
133,5.7696,,0,5.0,0.55,5,3,0,1.9617,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.116
134,5.7883,,0,5.0,0.55,5,3,0,1.9803,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.76
135,5.7995,,0,5.0,0.55,5,3,0,1.9916,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.853
136,5.8101,,0,5.0,0.55,5,3,0,2.0021,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.575
137,5.8207,,0,5.0,0.55,5,3,0,2.0128,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.7
138,5.8337,,0,5.0,0.55,5,3,0,2.0257,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,79.09
139,5.8446,,0,5.0,0.55,5,3,0,2.0367,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,79.866
140,5.8561,,0,5.0,0.55,5,3,0,2.0482,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.095
141,5.8752,,0,5.0,0.55,5,3,0,2.0673,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.369
142,5.8878,,0,5.0,0.55,5,3,0,2.0798,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.26
143,5.9008,,0,5.0,0.55,5,3,0,2.0929,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,78.771
144,5.9116,,0,5.0,0.55,5,3,0,2.1037,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,76.354
145,5.9302,,0,5.0,0.55,5,3,0,2.1222,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.679
146,5.9501,,0,5.0,0.55,5,3,0,2.1422,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.465
147,5.9611,,0,5.0,0.55,5,3,0,2.1531,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,76.729
148,5.9724,,0,5.0,0.55,5,3,0,2.1645,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,76.298
149,5.9862,,0,5.0,0.55,5,3,0,2.1783,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.483
150,5.9976,,0,5.0,0.55,5,3,0,2.1896,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.556
151,6.0105,,0,5.0,0.55,5,3,0,2.2025,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,78.264
152,6.0222,,0,5.0,0.55,5,3,0,2.2142,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,79.104
153,6.0338,,0,5.0,0.55,5,3,0,2.2259,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,80.148
154,6.0449,,0,5.0,0.55,5,3,0,2.237,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,79.25
155,6.0589,,0,5.0,0.55,5,3,0,2.2509,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,80.099
156,6.0703,,0,5.0,0.55,5,3,0,2.2624,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,80.313
157,6.0825,,0,5.0,0.55,5,3,0,2.2746,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,81.461
158,6.0934,,0,5.0,0.55,5,3,0,2.2855,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,81.331
159,6.1058,,0,5.0,0.55,5,3,0,2.2979,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,82.155
160,6.1169,,0,5.0,0.55,5,3,0,2.309,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,83.046
161,6.1279,,0,5.0,0.55,5,3,0,2.32,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,83.667
162,6.1392,,0,5.0,0.55,5,3,0,2.3312,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,84.21
163,6.1507,,0,5.0,0.55,5,3,0,2.3428,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,83.933
164,6.163,,0,5.0,0.55,5,3,0,2.355,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,84.089
