frame_id,elapsed_sec,track_id,buffer_duration_sec,valid_feature_ratio,raw_label,threshold_label,stable_label,confidence,prediction_updated,processing_fps
51,30.1815,3,0.8047,0.56,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.694
52,30.1946,6,0.3958,0.7,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.521
52,30.1946,1,0.9459,0.8462,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.521
52,30.1946,3,0.8178,0.5686,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.521
53,30.2068,1,0.9581,0.8491,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.758
53,30.2068,3,0.83,0.5769,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.758
54,30.22,1,0.9714,0.8519,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.333
55,30.2338,1,0.9851,0.8545,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.385
55,30.2338,6,0.435,0.6667,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.385
55,30.2338,3,0.857,0.5741,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.385
56,30.2495,1,1.0008,0.8571,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.441
56,30.2495,6,0.4507,0.6765,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.441
56,30.2495,3,0.8727,0.5818,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.441
57,30.2627,1,1.014,0.8596,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.144
57,30.2627,6,0.4639,0.6857,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.144
58,30.2751,1,1.0264,0.8621,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.051
58,30.2751,6,0.4763,0.6944,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.051
59,30.287,1,1.0383,0.8644,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.644
59,30.287,3,0.9102,0.569,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.644
60,30.3068,1,1.0582,0.8667,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,70.392
61,30.3267,1,1.0781,0.8689,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,71.551
61,30.3267,3,0.95,0.5667,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,71.551
62,30.3388,1,1.0901,0.871,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,69.603
62,30.3388,3,0.962,0.5738,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,69.603
63,30.3582,1,1.1096,0.873,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,67.882
63,30.3582,3,0.9815,0.5806,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,67.882
63,30.3582,15,0.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,67.882
64,30.3774,1,1.1288,0.875,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,66.419
64,30.3774,3,1.0007,0.5873,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,66.419
64,30.3774,15,0.0192,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,66.419
65,30.3969,1,1.1482,0.8769,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,66.015
65,30.3969,15,0.0386,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,66.015
66,30.4121,1,1.1634,0.8788,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,66.008
67,30.4308,1,1.1821,0.8806,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,64.357
67,30.4308,15,0.0725,0.8,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,64.357
68,30.4476,1,1.1989,0.8824,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,65.583
68,30.4476,3,1.0708,0.5672,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,65.583
69,30.4603,1,1.2116,0.8841,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,67.19
69,30.4603,3,1.0835,0.5735,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,67.19
69,30.4603,15,0.1021,0.7143,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,67.19
70,30.4726,1,1.224,0.8857,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,68.62
70,30.4726,3,1.0959,0.5797,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,68.62
70,30.4726,15,0.1144,0.75,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,68.62
71,30.485,1,1.2363,0.8873,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,69.836
71,30.485,3,1.1082,0.5857,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,69.836
71,30.485,15,0.1268,0.7778,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,69.836
72,30.4976,1,1.2489,0.8889,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,70.68
73,30.5099,1,1.2612,0.8904,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,71.732
73,30.5099,15,0.1516,0.7273,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,71.732
74,30.5225,1,1.2738,0.8919,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.727
74,30.5225,15,0.1642,0.75,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.727
75,30.5346,1,1.2859,0.8933,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.708
75,30.5346,15,0.1764,0.7692,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.708
75,30.5346,3,1.1578,0.5676,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.708
76,30.5468,1,1.2981,0.8947,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.111
76,30.5468,15,0.1886,0.7857,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.111
76,30.5468,3,1.17,0.5733,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.111
77,30.5598,1,1.3111,0.8961,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.469
77,30.5598,15,0.2015,0.8,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.469
77,30.5598,3,1.183,0.5789,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.469
78,30.5727,1,1.324,0.8974,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.471
78,30.5727,15,0.2145,0.8125,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.471
78,30.5727,3,1.1959,0.5844,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.471
79,30.5861,1,1.3374,0.8987,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.322
79,30.5861,15,0.2278,0.8235,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.322
80,30.5983,1,1.3496,0.9,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.772
80,30.5983,15,0.24,0.8333,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.772
82,30.6211,1,1.3724,0.8902,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.028
83,30.6351,1,1.3864,0.8916,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.546
83,30.6351,3,1.2583,0.561,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.546
83,30.6351,15,0.2768,0.7619,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.546
84,30.6511,1,1.4024,0.8929,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.788
85,30.6636,1,1.4149,0.8941,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,76.04
85,30.6636,15,0.3053,0.7391,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,76.04
86,30.677,1,1.4284,0.8953,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,76.179
87,30.6894,1,1.4408,0.8966,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.072
88,30.701,1,1.4523,0.8977,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,76.701
89,30.7151,1,1.4664,0.8989,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.164
90,30.7271,1,1.4784,0.9,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.938
91,30.7387,1,1.49,0.9011,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.593
92,30.7524,1,1.5037,0.9022,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.819
93,30.7724,1,1.5237,0.9032,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.265
94,30.7848,1,1.5361,0.9043,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.252
94,30.7848,15,0.4266,0.5625,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.252
95,30.8009,15,0.4427,0.5758,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.102
96,30.8194,15,0.4611,0.5882,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,71.544
96,30.8194,1,1.5707,0.8958,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,71.544
97,30.8349,1,1.5862,0.8969,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.173
98,30.847,1,1.5983,0.898,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.616
99,30.8585,1,1.6098,0.899,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.635
101,30.8829,15,0.5247,0.5385,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,76.755
102,30.8947,15,0.5365,0.55,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,73.944
103,30.915,1,1.6663,0.8738,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,74.711
104,30.9274,1,1.6787,0.875,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.228
105,30.9398,1,1.6911,0.8762,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.63
105,30.9398,15,0.5816,0.5349,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.63
106,30.9527,1,1.704,0.8774,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.555
106,30.9527,15,0.5944,0.5455,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.555
107,30.966,1,1.7174,0.8785,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.763
107,30.966,15,0.6078,0.5556,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.763
108,30.9786,1,1.7299,0.8796,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,76.768
108,30.9786,15,0.6203,0.5652,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,76.768
109,30.9904,1,1.7417,0.8807,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.551
109,30.9904,15,0.6321,0.5745,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.551
110,31.0021,1,1.7534,0.8818,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.888
110,31.0021,15,0.6438,0.5833,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.888
